Name,SuperPowers,Alignment,Gender
Bomb,"Durability,Stamina,Super Strength,Agility,Endurance,Explosion Manipulation,Fire Resistance,Heat Generation,Heat Resistance,Reflexes,Stealth,Invulnerability",Good,Male
Bubbles,Null,,
Chuck,"Durability,Endurance,Stamina,Stealth,Super Speed,Accelerated Healing,Agility,Animal Attributes,Animal Oriented Powers,Dexterity,Jump,Reflexes,Regeneration",Good,Male
Hatchlings,Null,,
Matilda,"Durability,Endurance,Intelligence,Stamina,Accelerated Healing,Agility,Animal Attributes,Animal Oriented Powers,Explosion Manipulation,Heat Generation,Jump,Reflexes,Stealth,Regeneration",Good,Female
Mighty Eagle,"Durability,Endurance,Intelligence,Stamina,Super Speed,Super Strength,Agility,Animal Attributes,Animal Oriented Powers,Flight,Reflexes,Stealth,Cold Resistance",Good,Male
Red,"Durability,Intelligence,Stamina,Agility,Animal Attributes,Animal Oriented Powers,Stealth",Good,Male
Terence,"Durability,Stamina,Super Speed,Super Strength,Accelerated Healing,Animal Attributes,Animal Oriented Powers,Reflexes,Stealth,Regeneration",Good,Male
Albus,"Ability Shift,Absolute Condition,Absorption,Acausality,Accelerated Development,Accelerated Healing,Acrobatics,Agility,Antiforce Manipulation,Arcane Magic,Arcane Magic,Astral Projection,Berserk Mode,Blood Manipulation,Bloodlust,Bullet Time,Chaos Energy,Chaos Magic,Chaos Manipulation,Conceptual Manipulation,Cryokinesis,Crystal Touch,Curse Manipulation,Dark Arts,Dark Magic,Dark Matter Manipulation,Darkforce Manipulation,Durability,Electrical Transport,Electro-Magnetism Manipulation,Electrokinesis,Energy Blasts,Enhanced Senses,Exorcism,Fire Control,Heal,Heat Generation,Hellfire Manipulation,Holy Manipulation,Magma Manipulation,Marksmanship,Master Martial Artist,Master Tactician,Non-Physical Interaction,Reflexes,Regeneration,Regeneration Negation,Rune Magic,Sealing,Super Speed,Super Strength,Supernatural Condition,Unholy Manipulation,Void Manipulation,Weapon-based Powers,Weapons Master,Air Control,Antimatter Manipulation,Astral Trap,Astral Travel,Astro Force,Black Hole Manipulation,Body Puppetry,Causality Manipulation,Damage Transferal,Dimension Storage,Dimensional Awareness,Dimensional Travel,Durability Negation,Enhanced Condition,Enhanced Hearing,Enhanced Memory,Enhanced Sight,Enhanced Smell,Enhanced Thievery,Enhanced Touch,Flight,Higher Dimensional Manipulation,Lava Manipulation,Magic,Pain Suppression,Self-Sustenance,Space Manipulation,Spatial Manipulation,Super Breath,Compassion Inducement",Bad,Male
Alucard,"Accelerated Healing,Acrobatics,Agility,Blood Manipulation,Bloodlust,Cold Resistance,Cryokinesis,Darkforce Manipulation,Dexterity,Durability,Durability Negation,Elemental Transmogrification,Endurance,Energy Manipulation,Energy Resistance,Enhanced Hearing,Enhanced Memory,Enhanced Senses,Enhanced Sight,Enhanced Smell,Enhanced Touch,Fear Manipulation,Heat Resistance,Immortality,Intelligence,Invulnerability,Jump,Levitation,Luck,Magic,Master Martial Artist,Master Tactician,Radiation Absorption,Radiation Control,Radiation Immunity,Reflexes,Regeneration,Regeneration Negation,Sealing,Shapeshifting,Soul Manipulation,Soul Resistance,Stamina,Statistics Amplification,Super Speed,Super Strength,Swordsmanship,Time Manipulation,Toxin and Disease Control,Toxin and Disease Resistance,Weapons Master,Acid Resistants,Air Control,Animal Control,Attack Reflection,Berserk Mode,Causality Resistance,Clairvoyance Resistance,Corruption Resistance,Curse Resistance,Damage Boost,Electricity Resistance,Electrokinesis,Element Control,Fire Control,Fire Resistance,Flight,Force Fields,Heat Generation,Hellfire Manipulation,Hellfire Resistance,Holy Manipulation,Holy Resistance,Illusion Resistance,Immortality Negation,Indomitable Will,Information Analysis,Intangibility,Light Control,Magic Resistance,Mind Control Resistance,Non-Physical Interaction,Petrification,Possession Resistance,Power Nullifier,Precognition,Reality Warping Resistance,Resurrection,Self-Sustenance,Sound Manipulation,Summoning,Telepathy,Telepathy Resistance,Teleportation,Time Manipulation Resistance,Timeframe Control,Transmutation,Unholy Resistance,Weapon Summoning",Good,Male
Barlowe,"Ability Shift,Absolute Condition,Acausality,Agility,Air Control,Antiforce Manipulation,Antimatter Manipulation,Arcane Magic,Arcane Magic,Astral Projection,Astro Force,Bullet Time,Causality Manipulation,Chaos Energy,Chaos Magic,Chaos Manipulation,Corruption,Curse Manipulation,Dark Arts,Dark Magic,Dark Matter Manipulation,Darkforce Manipulation,Data Manipulation,Energy Constructs,Energy Manipulation,Enhanced Condition,Enhanced Hearing,Enhanced Memory,Enhanced Senses,Enhanced Sight,Enhanced Smell,Enhanced Thievery,Enhanced Touch,Enigma Force,Flight,Food Manipulation,Gravity Control,Intelligence,Mind Control,Rune Magic,Sage Mode,Super Speed,Super Strength,Astral Trap,Attack Reflection,Chain Manipulation,Creation,Damage Boost,Dimension Storage,Dimensional Awareness,Ectoplasm Manipulation,Electro-Magnetism Manipulation,Electrokinesis,Element Control,Elemental Transmogrification,Higher Dimensional Manipulation,Hive-Mind,Molecular Combustion,Molecular Dissipation,Molecular Immobilization,Molecular Manipulation,Molecular Oscillation,Morality Manipulation,Necromancy,Physics Manipulation,Portal Creation,Possession,Power Bestowal,Power Cosmic,Regeneration,Spatial Awareness,Spatial Communication,Spatial Manipulation,Summoning,Super Breath,Supernatural Condition,Unholy Manipulation,Cryokinesis,Crystal Touch,Curse Resistance",Bad,Male
Carmilla,Null,Bad,Female
Carrie Fernandez,Null,,Female
Charlotte Aulin,Null,,Female
Christopher Belmont,Null,,Male
Dario Bossi,Null,,Male
Desmond Belmont,Null,,Male
Dmitrii Blinov,Null,,Male
Dracula,"Acrobatics,Agility,Blood Manipulation,Durability,Endurance,Immortality,Intelligence,Magic,Pain Suppression,Reflexes,Regeneration,Stamina,Super Speed,Super Strength,Absorption,Animal Control,Animal Oriented Powers,Anti-Gravity,Apathy,Astral Projection,Attack Reflection,Black Hole Manipulation,Body Puppetry,Chaos Magic,Chaos Manipulation,Cold Resistance,Conceptual Manipulation,Corruption,Corruption Resistance,Cryokinesis,Curse Manipulation,Death Manipulation,Deconstruction,Dexterity,Dream Manipulation,Electrokinesis,Element Control,Energy Manipulation,Enhanced Senses,Existence Erasure,Fire Control,Flight,Force Fields,Gravity Control,Heat Resistance,Hellfire Manipulation,Hellfire Resistance,Illusions,Intangibility,Invisibility,Invulnerability,Law Manipulation,Levitation,Life Manipulation,Marksmanship,Matter Manipulation,Mind Control,Mind Control Resistance,Non-Corporeal,Non-Physical Interaction,Paralysis,Phasing,Physics Manipulation,Pocket Dimensions,Portal Creation,Possession Resistance,Power Mimicry,Power Nullifier,Reality Warping,Resurrection,Self-Sustenance,Shapeshifting,Sleep Manipulation,Soul Manipulation,Soul Resistance,Spatial Manipulation,Stealth,Subjective Reality,Summoning,Super Breath,Supernatural Condition,Telekinesis,Telepathy,Teleportation,Terrakinesis,Time Manipulation,Time Manipulation Resistance,Time Travel,Toxin and Disease Control,Toxin and Disease Resistance,Transformation,Umbrakinesis,Void Manipulation,Water Control,Weather Control,Wind Control,Afterimage Creation,Holy Manipulation,Holy Resistance,Master Martial Artist,Master Tactician",Bad,Male
Drolta Tzuentes,Null,,
Elizabeth Bartley,Null,,Female
Eric Lecarde,Null,,Male
Gabriel Belmont (The prince of darkness),"Ability Shift,Absolute Condition,Absorption,Acausality,Accelerated Development,Accelerated Healing,Agility,Air Control,Amphibious Respiration,Anti-Gravity,Antiforce Manipulation,Antimatter Manipulation,Arcane Magic,Arcane Magic,Astral Projection,Attack Reflection,Audio Control,Aura,Avatar Creation,Awakened Power,Broadway Force,Bullet Time,Causality Manipulation,Chain Manipulation,Chaos Energy,Chaos Magic,Chaos Manipulation,Chemokinesis,Chi Manipulation,Compassion Inducement,Conceptual Manipulation,Corruption Resistance,Cosmic Awareness,Creation,Cryokinesis,Crystal Touch,Danmaku,Dark Arts,Dark Magic,Dark Matter Manipulation,Darkforce Manipulation,Dream Manipulation,Duplication,Durability,Energy Armor,Energy Beams,Energy Blasts,Energy Constructs,Energy Embodiment,Energy Manipulation,Extrasensory Perception,Fate Manipulation,Fear Inducement,Fear Manipulation,Force Ghost,Heal,Heat Generation,Hellfire Manipulation,Higher Dimensional Manipulation,Hive-Mind,Holy Manipulation,Hypnotic Suggestion,Intelligence,Invulnerability,Levitation,Life Manipulation,Madness Manipulation,Marksmanship,Master Martial Artist,Master Tactician,Mathematics Manipulation,Matter Manipulation,Necromancy,New Power,Non-Physical Interaction,Nothingness Aspect Manifestation,Organic Manipulation,Origin Manipulation,Pain Manipulation,Pain Suppression,Peak Human Condition,Pocket Dimensions,Portal Creation,Possession,Postcognition,Power Absorption,Power Bestowal,Power Cosmic,Regeneration,Resurrection,Rune Magic,Self-Sustenance,Shadow Manipulation,Shapeshifting,Smoke Manipulation,Soul Manipulation,Sound Manipulation,Space Manipulation,Spatial Awareness,Spatial Communication,Spatial Manipulation,Still Force,Strength Force,Swordsmanship,Symbiote Costume,Symbiotic Regeneration,Telekinesis,Telepathy,Teleportation,Time Manipulation,Time Manipulation Resistance,Toxin and Disease Control,Transformation,Transmutation,Truth Manipulation,Umbrakinesis,Unholy Manipulation,Void Manipulation,Vortex Creation,Weapon Creation,Weapon Summoning,Weapons Master,Weather Control,Acid Manipulation,Acid Resistants,Acidic Spit,Acrobatics,Adaptation,Afterimage Creation,Amber,Animal Control,Apathy,Apotheosis,Banish,Berserk Mode,BFRBiokinesis,Bionics,Black Hole Manipulation,Blood Manipulation,Bloodlust,Clairvoyance,Cloaking,Cloning,Cloth Manipulation,Cold Resistance,Corruption,Curse Manipulation,Curse Resistance,Damage Boost,Damage Reduction,Damage Transferal,Data Manipulation,Disguise Mastery,Durability Negation,Ectoplasm Manipulation,Electrical Transport,Electro-Magnetism Manipulation,Electrokinesis,Element Control,Elemental Transmogrification,Enhanced Condition,Enhanced Hearing,Enhanced Memory,Enhanced Senses,Enhanced Sight,Enhanced Smell,Enhanced Thievery,Enhanced Touch,Enigma Force,Entropy Projection,Exorcism,Fire Control,Fire Resistance,Food Manipulation,Grappling/Climbing,Gravity Control,Greed Inducement,Grim Reaping,Hellfire Resistance,Holy Resistance,Hyperkinesis,Hypnokinesis,Immortality,Intangibility,Large Size,Lava Manipulation,Law Manipulation,Liquid Transmutation,Luck,Magic,Magma Manipulation,Memory Manipulation,Mind Control,Molecular Manipulation,Morality Manipulation,Power Sense,Power Suit,Precognition,Preparation,Pressure Points,Probability Manipulation,Projection,Radiation Immunity,Reality Warping,Summoning,Underwater breathing,Unholy Resistance,Astral Trap,Astral Travel,Astro Force,Attack Negation,Blessed,Danger Sense,Death Manipulation,Death Touch,Decay Embodiment,Deconstruction,Demon Physiology,Density Control,Dexterity,Dimension Storage,Dimensional Awareness,Dimensional Travel,Disarmament,Space Survivability",Good,Male
Galamoth,"Ability Shift,Absolute Condition,Acausality,Accelerated Development,Accelerated Healing,Amphibious Respiration,Animal Attributes,Animal Control,Animal Oriented Powers,Anti-Gravity,Antiforce Manipulation,Antimatter Manipulation,Arcane Magic,Arcane Magic,Astral Trap,Chain Manipulation,Chaos Energy,Chaos Magic,Chaos Manipulation,Dark Arts,Dark Magic,Dark Matter Manipulation,Darkforce Manipulation,Dimension Storage,Dimensional Awareness,Durability,Electrical Transport,Electro-Magnetism Manipulation,Electrokinesis,Energy Manipulation,Large Size,Magnetism,Matter Manipulation,Plasma Manipulation,Space Manipulation,Stamina,Super Speed,Super Strength,Void Manipulation,Weather Control,Astral Travel,Avatar Creation,Awakened Power,Black Hole Manipulation,Bloodlust,Bullet Time,Causality Manipulation,Chi Manipulation,Compassion Inducement,Conceptual Manipulation,Cosmic Awareness,Creation,Curse Manipulation,Damage Boost,Data Manipulation,Echolocation,Element Control,Elemental Transmogrification,Enhanced Condition,Enhanced Hearing,Enhanced Memory,Enhanced Senses,Enhanced Sight,Enhanced Smell,Enhanced Thievery,Enhanced Touch,Entropy Projection,Exorcism,Gravity Control,Information Manipulation,Perception Manipulation,Perfect Recollection,Physics Manipulation,Power Augmentation,Power Cosmic,Precognition,Preparation,Rune Magic,Shadow Manipulation,Soul Manipulation,Spatial Awareness,Spatial Communication,Spatial Manipulation,Stasis,Statistics Amplification,Super Breath,Supernatural Condition,Toxin and Disease Resistance,Umbrakinesis,Underwater breathing,Unholy Manipulation,Unholy Resistance,Vortex Creation,Astral Projection,Astro Force,Berserk Mode,Electricity Absorption,Electricity Resistance,Higher Dimensional Manipulation,Immortality,Time Manipulation Resistance,Wind Control",Bad,Male
Genya Arikado,Null,,Male
Graham Jones,"Ability Shift,Acausality,Agility,Air Control,Arcane Magic,Arcane Magic,Astral Projection,Berserk Mode,Blood Manipulation,Bloodlust,Causality Manipulation,Causality Resistance,Chaos Energy,Chaos Magic,Chaos Manipulation,Conceptual Manipulation,Curse Resistance,Damage Boost,Dark Magic,Dark Matter Manipulation,Darkforce Manipulation,Demon Physiology,Dimension Storage,Dimensional Awareness,Electro-Magnetism Manipulation,Electrokinesis,Levitation,Reality Warping,Self-Sustenance,Super Breath,Super Speed,Super Strength,Supernatural Condition,Toxin and Disease Resistance,Transformation,Cosmic Awareness,Creation,Durability Negation,Element Control,Energy Manipulation,Enhanced Hearing,Enhanced Senses,Enhanced Touch,Exorcism,Hellfire Manipulation,Magma Manipulation,Soul Manipulation,Sound Manipulation,Space Manipulation,Summoning,Teleportation,Time Manipulation Resistance,Underwater breathing,Unholy Manipulation,Unholy Resistance,Cold Resistance",Bad,Male
Hector,Null,,Male
Henry Oldrey,Null,,Male
Hugh Baldwin,Null,,Male
Joachim Armster,Null,,Male
John Morris,Null,,Male
Jonathan Morris,Null,,Male
Julia Laforeze,Null,,Female
Julius Belmont,Null,,Male
Juste Belmont,Null,,Male
Leon Belmont,"Acrobatics,Agility,Attack Reflection,Chain Manipulation,Cold Resistance,Danmaku,Electricity Resistance,Endurance,Energy Blasts,Enhanced Hearing,Enhanced Touch,Explosion Manipulation,Force Fields,Heat Resistance,Holy Manipulation,Holy Resistance,Homing Attack,Hunters Instinct,Immortality Negation,Intelligence,Invulnerability,Jump,Magic,Magic Resistance,Master Martial Artist,Master Tactician,Possession Resistance,Power Nullifier,Radiation Immunity,Reality Warping Resistance,Reflexes,Regeneration Negation,Self-Sustenance,Soul Manipulation,Soul Resistance,Stamina,Statistics Amplification,Swordsmanship,Time Manipulation Resistance,Toxin and Disease Resistance,Weapons Master,Acid Resistants,Causality Resistance,Clairvoyance Resistance,Corruption Resistance,Cryokinesis,Curse Resistance,Dexterity,Electrokinesis,Element Control,Energy Resistance,Enhanced Memory,Enhanced Senses,Enhanced Sight,Fire Control,Fire Resistance,Heat Generation,Illusion Resistance,Indomitable Will,Invisibility,Mind Control Resistance,Non-Physical Interaction,Preparation,Sealing,Shockwaves Generation,Status Effect Inducement,Telepathy Resistance,Accelerated Healing,Immortality,Regeneration",Good,Male
Lisa Tepes,Null,,Female
Loretta Lecarde,Null,,Female
Lydie Erlanger,Null,,Female
Maria Renard,Null,,Female
Maxim Kischine,Null,,Male
Menace,"Ability Shift,Absolute Condition,Acausality,Accelerated Development,Accelerated Healing,Acid Manipulation,Acid Resistants,Amphibious Respiration,Astral Projection,Astral Trap,Astral Travel,Astro Force,Blood Manipulation,Bloodlust,Chaos Energy,Chaos Magic,Chaos Manipulation,Cosmic Awareness,Creation,Dark Arts,Dark Magic,Dark Matter Manipulation,Darkforce Manipulation,Demon Physiology,Dimension Storage,Dimensional Awareness,Durability,Energy Manipulation,Enhanced Condition,Enhanced Hearing,Enhanced Memory,Enhanced Senses,Enhanced Sight,Enhanced Smell,Enhanced Thievery,Enhanced Touch,Force Ghost,Gravity Control,Heal,Higher Dimensional Manipulation,Homing Attack,Hunters Instinct,Immortality,Large Size,Liquid Transmutation,Longevity,Madness Manipulation,Magic,Matter Manipulation,Memory Manipulation,Molecular Combustion,Molecular Dissipation,Molecular Immobilization,Molecular Manipulation,Molecular Oscillation,Morality Manipulation,Non-Physical Interaction,Organic Manipulation,Pataphysics Manipulation,Peak Human Condition,Perception Manipulation,Perfect Recollection,Physical Anomaly,Physics Manipulation,Plasma Manipulation,Power Bestowal,Power Cosmic,Radiation Absorption,Radiation Control,Radiation Immunity,Regeneration,Resurrection,Rune Magic,Self-Sustenance,Shadow Manipulation,Sound Manipulation,Space Manipulation,Spatial Awareness,Spatial Communication,Spatial Manipulation,Stamina,Still Force,Strength Force,Summoning,Super Breath,Super Strength,Supernatural Condition,Toxin and Disease Control,Umbrakinesis,Underwater breathing,Unholy Manipulation,Uni-Power,Audio Control,Avatar Creation,Awakened Power,Biokinesis,Black Hole Manipulation,Bone Manipulation,Bullet Time,Causality Manipulation,Compassion Inducement,Conceptual Manipulation,Curse Manipulation,Data Manipulation,Death Manipulation,Death Touch,Decay Embodiment,Deconstruction,Density Control,Dexterity,Dimensional Travel,Ectoplasm Manipulation,Endurance,Enigma Force,Entropy Projection,Exorcism,Extrasensory Perception,Gamma Mutant Physiology,Metaphysics Manipulation,Nothingness Aspect Manifestation,Pain Manipulation,Pocket Dimensions,Portal Creation,Power Augmentation,Reflexes,Scanning,Sealing,Seismic Power,Sonar,Sonic Scream,Spirit Control,Symbiote Costume,Symbiotic Regeneration,Void Manipulation,Vortex Creation,Dream Manipulation,Electrical Transport,Information Analysis,Information Manipulation,Interstellar Travel,Law Manipulation,Origin Manipulation,Smoke Manipulation,Social Influencing,Soul Manipulation,Space Survivability,Stasis,Subjective Reality,Toxin and Disease Resistance,Transformation,Transmutation",Bad,Male
Mina Hakuba,Null,,Female
Nathan Graves,Null,,Male
Reinhardt Schneider,"Attack Reflection,Corruption Resistance,Dimension Storage,Durability,Electrokinesis,Energy Manipulation,Enhanced Senses,Fire Control,Force Fields,Holy Manipulation,Intelligence,Jump,Magic,Master Martial Artist,Mind Control Resistance,Non-Physical Interaction,Peak Human Condition,Power Nullifier,Soul Manipulation,Soul Resistance,Super Speed,Super Strength,Time Manipulation Resistance,Unholy Resistance,Weapon-based Powers,Weapons Master,Agility,Death Manipulation,Hellfire Resistance,Levitation,Possession Resistance,Self-Sustenance,Time Manipulation,Toxin and Disease Resistance,Water Control,Weather Control",Good,Male
